,nama_kabupaten_kota,jumlah_produksi_sampah,satuan,tahun
0,KABUPATEN BOGOR,1511.15,TON PER HARI,2015
1,KABUPATEN SUKABUMI,419.01,TON PER HARI,2015
2,KABUPATEN CIANJUR,981.41,TON PER HARI,2015
3,KABUPATEN BANDUNG,1895.94,TON PER HARI,2015
4,KABUPATEN GARUT,464.74,TON PER HARI,2015
5,KABUPATEN TASIKMALAYA,464.52,TON PER HARI,2015
6,KABUPATEN CIAMIS,260.91,TON PER HARI,2015
7,KABUPATEN KUNINGAN,251.7,TON PER HARI,2015
8,KABUPATEN CIREBON,465.75,TON PER HARI,2015
9,KABUPATEN MAJALENGKA,254.63,TON PER HARI,2015
10,KABUPATEN SUMEDANG,237.96,TON PER HARI,2015
11,KABUPATEN INDRAMAYU,613.18,TON PER HARI,2015
12,KABUPATEN SUBANG,487.26,TON PER HARI,2015
13,KABUPATEN PURWAKARTA,308.96,TON PER HARI,2015
14,KABUPATEN KARAWANG,869.86,TON PER HARI,2015
15,KABUPATEN BEKASI,1228.6,TON PER HARI,2015
16,KABUPATEN BANDUNG BARAT,616.08,TON PER HARI,2015
17,KABUPATEN PANGANDARAN,185.83,TON PER HARI,2015
18,KOTA BOGOR,991.93,TON PER HARI,2015
19,KOTA SUKABUMI,309.91,TON PER HARI,2015
20,KOTA BANDUNG,2448.63,TON PER HARI,2015
21,KOTA CIREBON,304.15,TON PER HARI,2015
22,KOTA BEKASI,2387.08,TON PER HARI,2015
23,KOTA DEPOK,1844.3,TON PER HARI,2015
24,KOTA CIMAHI,563.21,TON PER HARI,2015
25,KOTA TASIKMALAYA,472.36,TON PER HARI,2015
26,KOTA BANJAR,130.21,TON PER HARI,2015
27,KABUPATEN BOGOR,1511.15,TON PER HARI,2016
28,KABUPATEN SUKABUMI,419.01,TON PER HARI,2016
29,KABUPATEN CIANJUR,981.41,TON PER HARI,2016
30,KABUPATEN BANDUNG,1895.94,TON PER HARI,2016
31,KABUPATEN GARUT,464.74,TON PER HARI,2016
32,KABUPATEN TASIKMALAYA,464.52,TON PER HARI,2016
33,KABUPATEN CIAMIS,260.91,TON PER HARI,2016
34,KABUPATEN KUNINGAN,251.7,TON PER HARI,2016
35,KABUPATEN CIREBON,465.75,TON PER HARI,2016
36,KABUPATEN MAJALENGKA,254.63,TON PER HARI,2016
37,KABUPATEN SUMEDANG,237.96,TON PER HARI,2016
38,KABUPATEN INDRAMAYU,613.18,TON PER HARI,2016
39,KABUPATEN SUBANG,487.26,TON PER HARI,2016
40,KABUPATEN PURWAKARTA,308.96,TON PER HARI,2016
41,KABUPATEN KARAWANG,869.86,TON PER HARI,2016
42,KABUPATEN BEKASI,1228.6,TON PER HARI,2016
43,KABUPATEN BANDUNG BARAT,616.08,TON PER HARI,2016
44,KABUPATEN PANGANDARAN,185.83,TON PER HARI,2016
45,KOTA BOGOR,991.93,TON PER HARI,2016
46,KOTA SUKABUMI,309.91,TON PER HARI,2016
47,KOTA BANDUNG,2448.63,TON PER HARI,2016
48,KOTA CIREBON,304.15,TON PER HARI,2016
49,KOTA BEKASI,2387.08,TON PER HARI,2016
50,KOTA DEPOK,1844.3,TON PER HARI,2016
51,KOTA CIMAHI,563.21,TON PER HARI,2016
52,KOTA TASIKMALAYA,472.36,TON PER HARI,2016
53,KOTA BANJAR,130.21,TON PER HARI,2016
54,KABUPATEN BOGOR,1511.15,TON PER HARI,2017
55,KABUPATEN SUKABUMI,419.01,TON PER HARI,2017
56,KABUPATEN CIANJUR,981.41,TON PER HARI,2017
57,KABUPATEN BANDUNG,1895.94,TON PER HARI,2017
58,KABUPATEN GARUT,464.74,TON PER HARI,2017
59,KABUPATEN TASIKMALAYA,464.52,TON PER HARI,2017
60,KABUPATEN CIAMIS,260.91,TON PER HARI,2017
61,KABUPATEN KUNINGAN,251.7,TON PER HARI,2017
62,KABUPATEN CIREBON,465.75,TON PER HARI,2017
63,KABUPATEN MAJALENGKA,254.63,TON PER HARI,2017
64,KABUPATEN SUMEDANG,237.96,TON PER HARI,2017
65,KABUPATEN INDRAMAYU,613.18,TON PER HARI,2017
66,KABUPATEN SUBANG,487.26,TON PER HARI,2017
67,KABUPATEN PURWAKARTA,308.96,TON PER HARI,2017
68,KABUPATEN KARAWANG,869.86,TON PER HARI,2017
69,KABUPATEN BEKASI,1228.6,TON PER HARI,2017
70,KABUPATEN BANDUNG BARAT,616.08,TON PER HARI,2017
71,KABUPATEN PANGANDARAN,185.83,TON PER HARI,2017
72,KOTA BOGOR,991.93,TON PER HARI,2017
73,KOTA SUKABUMI,309.91,TON PER HARI,2017
74,KOTA BANDUNG,2448.63,TON PER HARI,2017
75,KOTA CIREBON,304.15,TON PER HARI,2017
76,KOTA BEKASI,2387.08,TON PER HARI,2017
77,KOTA DEPOK,1844.3,TON PER HARI,2017
78,KOTA CIMAHI,563.21,TON PER HARI,2017
79,KOTA TASIKMALAYA,472.36,TON PER HARI,2017
80,KOTA BANJAR,130.21,TON PER HARI,2017
81,KABUPATEN BOGOR,1716.8,TON PER HARI,2018
82,KABUPATEN SUKABUMI,415.5,TON PER HARI,2018
83,KABUPATEN CIANJUR,965.19,TON PER HARI,2018
84,KABUPATEN BANDUNG,2068.06,TON PER HARI,2018
85,KABUPATEN GARUT,473.89,TON PER HARI,2018
86,KABUPATEN TASIKMALAYA,458.45,TON PER HARI,2018
87,KABUPATEN CIAMIS,263.01,TON PER HARI,2018
88,KABUPATEN KUNINGAN,248.52,TON PER HARI,2018
89,KABUPATEN CIREBON,466.25,TON PER HARI,2018
90,KABUPATEN MAJALENGKA,249.26,TON PER HARI,2018
91,KABUPATEN SUMEDANG,236.12,TON PER HARI,2018
92,KABUPATEN INDRAMAYU,603.11,TON PER HARI,2018
93,KABUPATEN SUBANG,498.7,TON PER HARI,2018
94,KABUPATEN PURWAKARTA,323.87,TON PER HARI,2018
95,KABUPATEN KARAWANG,896.85,TON PER HARI,2018
96,KABUPATEN BEKASI,1600.71,TON PER HARI,2018
97,KABUPATEN BANDUNG BARAT,663.54,TON PER HARI,2018
98,KABUPATEN PANGANDARAN,171.21,TON PER HARI,2018
99,KOTA BOGOR,1069.41,TON PER HARI,2018
100,KOTA SUKABUMI,318.12,TON PER HARI,2018
101,KOTA BANDUNG,2441.12,TON PER HARI,2018
102,KOTA CIREBON,308.37,TON PER HARI,2018
103,KOTA BEKASI,2858.6,TON PER HARI,2018
104,KOTA DEPOK,2272.07,TON PER HARI,2018
105,KOTA CIMAHI,592.62,TON PER HARI,2018
106,KOTA TASIKMALAYA,465.23,TON PER HARI,2018
107,KOTA BANJAR,128.34,TON PER HARI,2018
108,KABUPATEN BOGOR,2914.65,TON PER HARI,2019
109,KABUPATEN SUKABUMI,1003.64,TON PER HARI,2019
110,KABUPATEN CIANJUR,1115.81,TON PER HARI,2019
111,KABUPATEN BANDUNG,1334.12,TON PER HARI,2019
112,KABUPATEN GARUT,1144.01,TON PER HARI,2019
113,KABUPATEN TASIKMALAYA,753.06,TON PER HARI,2019
114,KABUPATEN CIAMIS,560.57,TON PER HARI,2019
115,KABUPATEN KUNINGAN,537.25,TON PER HARI,2019
116,KABUPATEN CIREBON,3.15,TON PER HARI,2019
117,KABUPATEN MAJALENGKA,515.7,TON PER HARI,2019
118,KABUPATEN SUMEDANG,436.96,TON PER HARI,2019
